=== start Baby2 23:20:39 ===
BO QUA >100MB: ['assets/y-khue/videos/2022/08/2022-08-25_1_sieuam.mp4']
3029 file, 5109 MB, 15 batches
[1/15] OK 395 MB, 2487 file
[2/15] OK 348 MB, 55 file
[3/15] OK 347 MB, 31 file
[4/15] OK 341 MB, 33 file
[5/15] OK 345 MB, 40 file
[6/15] OK 348 MB, 51 file
[7/15] OK 346 MB, 37 file
[8/15] OK 344 MB, 35 file
[9/15] OK 341 MB, 38 file
[10/15] OK 350 MB, 38 file
[11/15] OK 348 MB, 36 file
[12/15] OK 345 MB, 38 file
[13/15] OK 327 MB, 41 file
[14/15] OK 344 MB, 34 file
[15/15] OK 239 MB, 35 file
=== ALL DONE 15/15 ===
